filename,frame_num,boxes,module_result,RBP
normal_trimmed_01.mp4,100,"tensor([[298.4833, 111.9782,  25.5367,  51.2890]])","[[5, 0.0, -1, 0, 0, 0, 0], [10, 0.0, -1, 0, 0, 0, 0], [15, 0.0, -1, 0, 0, 0, 0], [20, 0.0, -1, 0, 0, 0, 0], [25, 0.0, -1, 0, 0, 0, 0], [30, 0.0, -1, 0, 0, 0, 0], [35, 0.0, -1, 0, 0, 0, 0], [40, 0.0, -1, 0, 0, 0, 0], [45, 0.0, -1, 0, 0, 0, 0], [50, 0.0, -1, 0, 0, 0, 0], [55, 0.0, -1, 0, 0, 0, 0], [60, 0.0, -1, 0, 0, 0, 0], [65, 0.0, -1, 0, 0, 0, 0], [70, 1.4361892804445233, 0.0, 1, 0, 0, 0], [75, 1.3113792770300279, 0.0, 1, 0, 0, 0], [80, 1.41709529265457, 0.0, 1, 0, 0, 0], [85, 1.5274586086500979, 0.0, 1, 0, 0, 0], [90, 1.6055185613067806, 0.0, 0, 0, 1, 0], [95, 1.6433037734168465, 0.0, 0, 0, 1, 0], [100, 1.7054048530165649, 0.0, 1, 0, 0, 0]]",0.46858522
normal_trimmed_01.mp4,200,"tensor([[304.0175, 107.9962,  31.9650,  49.4041],
        [203.3409,  66.5763,  33.9444,  46.9719]])","[[105, 1.7114955590447305, 0.0, 1, 0, 0, 0], [110, 1.725478666116942, 0.0, 1, 0, 0, 0], [115, 1.7704357376078406, 0.0, 1, 0, 0, 0], [120, 1.7977383373605942, 0.0, 1, 0, 0, 0], [125, 2.602423608689662, 5.5, 2, 0, 0, 0], [130, 2.5292472320971298, 5.5, 2, 0, 0, 0], [135, 2.723082134318171, 5.5, 2, 0, 0, 0], [140, 2.9706778155358315, 5.5, 2, 0, 0, 0], [145, 3.1018312850022767, 5.5, 2, 0, 0, 0], [150, 3.200368496005391, 5.5, 2, 0, 0, 0], [155, 3.5513850295557554, 5.5, 2, 0, 0, 0], [160, 3.70682739577425, 5.5, 2, 0, 0, 0], [165, 3.7373493480481557, 5.5, 2, 0, 0, 0], [170, 3.8241744845855314, 5.5, 2, 0, 0, 0], [175, 4.050256811219697, 5.5, 2, 0, 0, 0], [180, 4.1567715769157685, 5.5, 1, 0, 1, 0], [185, 4.2657370814145, 5.5, 1, 0, 0, 1], [190, 4.255961043640809, 5.5, 1, 0, 0, 1], [195, 4.366797119195174, 5.5, 1, 0, 0, 1], [200, 4.132338332871162, 5.5, 1, 0, 1, 0]]",0.52796656
normal_trimmed_01.mp4,300,"tensor([[288.8593, 115.9587,  40.0579,  54.4164],
        [188.3554,  64.0191,  30.5063,  44.8119]])","[[205, 4.0511794352817105, 5.5, 1, 0, 1, 0], [210, 2.2868282714243833, 6.0, 1, 0, 0, 0], [215, 2.3241356426099933, 6.5, 1, 0, 0, 0], [220, 2.4766716930268253, 7.0, 1, 0, 0, 0], [225, 2.380129372856269, 7.5, 0, 1, 0, 0], [230, 4.211734640024891, 13.063945294843617, 1, 1, 0, 0], [235, 4.117238923929108, 13.072447700751718, 1, 1, 0, 0], [240, 3.9732299640363635, 13.097921802925667, 0, 1, 0, 1], [245, 3.83813603932731, 13.140268896284683, 0, 1, 0, 1], [250, 3.861372658060494, 13.199326582148888, 0, 1, 0, 1], [255, 4.047040472587166, 13.27487183449325, 0, 1, 0, 1], [260, 4.116224886675809, 13.366625103842281, 1, 1, 0, 0], [265, 4.22651577150494, 13.474255287605157, 1, 1, 0, 0], [270, 4.3111582704089715, 13.59738536958076, 1, 1, 0, 0], [275, 4.3797223076696055, 13.73559851869101, 1, 1, 0, 0], [280, 4.571513002809449, 13.888444437333106, 1, 1, 0, 0], [285, 4.7253537147056095, 14.055445761538678, 0, 1, 0, 1], [290, 4.710146133993931, 14.236104336041748, 0, 1, 0, 1], [295, 4.599240513735519, 14.42990721460891, 0, 1, 0, 1], [300, 4.618299297172598, 14.636332266733431, 0, 1, 0, 1]]",0.54892015
normal_trimmed_01.mp4,400,"tensor([[202.7292,  60.2920,  32.1098,  43.4807]])","[[305, 4.587776114195397, 14.854853303438128, 0, 1, 1, 0], [310, 4.512236153625054, 15.084944665313014, 1, 1, 0, 0], [315, 4.54275357831898, 15.326085243430198, 1, 1, 0, 0], [320, 4.553944880902843, 15.57776192739723, 1, 1, 0, 0], [325, 4.57500759659797, 15.839472494022296, 1, 1, 0, 0], [330, 4.418043147317803, 16.110727964792762, 1, 1, 0, 0], [335, 4.310271188834425, 16.391054470858997, 0, 1, 0, 1], [340, 4.319752213411675, 16.67999467092907, 0, 1, 0, 1], [345, 4.360216230472967, 16.97710877099579, 0, 1, 0, 1], [350, 4.479029017163914, 17.281975195754296, 1, 1, 0, 0], [355, 4.335842967278343, 17.594190960528863, 0, 1, 0, 1], [360, 4.357380319096667, 17.913371790059205, 0, 1, 0, 1], [365, 4.345094747107775, 18.239152027072603, 0, 1, 0, 1], [370, 4.033481905758966, 18.571184369578827, 0, 1, 0, 1], [375, 4.275385460402201, 18.90913947157711, 0, 1, 0, 1], [380, 1.8304992338710993, 18.80307303489394, 1, 0, 0, 0], [385, 1.827443591445899, 18.708286933869708, 0, 0, 0, 1], [390, 1.8027645607473157, 18.624953392931992, 1, 0, 0, 0], [395, 1.797552190936661, 18.553226733434325, 1, 0, 0, 0], [400, 1.8179130402686496, 18.49324200890693, 1, 0, 0, 0]]",0.47626626
normal_trimmed_01.mp4,500,[],"[[405, 1.8443830119311617, 18.445113776342563, 1, 0, 0, 0], [410, 1.886762720765546, 18.408935028645434, 0, 0, 0, 1], [415, 1.8853002670372614, 18.384776310850235, 1, 0, 0, 0], [420, 1.824217086142653, 18.372685039360892, 0, 0, 1, 0], [425, 1.8330103374755709, 18.372685039360892, 1, 0, 0, 0], [430, 1.739018212634619, 18.384776310850235, 0, 0, 1, 0], [435, 1.740573551790779, 18.408935028645434, 0, 0, 1, 0], [440, 1.6486562993442628, 18.445113776342563, 0, 0, 1, 0], [445, 0.0, 18.445113776342563, 0, 0, 0, 0], [450, 0.0, 18.445113776342563, 0, 0, 0, 0], [455, 0.0, 18.445113776342563, 0, 0, 0, 0], [460, 0.0, 18.445113776342563, 0, 0, 0, 0], [465, 3.886734258255577, 23.45607597190971, 0, 0, 0, 1], [470, 0.0, 23.45607597190971, 0, 0, 0, 0], [475, 0.0, 23.45607597190971, 0, 0, 0, 0], [480, 0.0, 23.45607597190971, 0, 0, 0, 0], [485, 0.0, 23.45607597190971, 0, 0, 0, 0], [490, 0.0, 23.45607597190971, 0, 0, 0, 0], [495, 0.0, 23.45607597190971, 0, 0, 0, 0], [500, 0.0, 23.45607597190971, 0, 0, 0, 0]]",0.44270134
normal_trimmed_01.mp4,600,"tensor([[308.5579, 121.3126,  19.4987,  48.5236]])","[[505, 0.0, 23.45607597190971, 0, 0, 0, 0], [510, 0.0, 23.45607597190971, 0, 0, 0, 0], [515, 0.0, 23.45607597190971, 0, 0, 0, 0], [520, 0.0, 23.45607597190971, 0, 0, 0, 0], [525, 1.0713880007945893, 24.119701490690137, 1, 0, 0, 0], [530, 1.0916242834816028, 23.924882444852262, 1, 0, 0, 0], [535, 1.1916286337461013, 23.735205918634872, 1, 0, 0, 0], [540, 1.0818445806750485, 23.550796164885806, 1, 0, 0, 0], [545, 1.3867917310599296, 23.37177785278647, 1, 0, 0, 0], [550, 1.2201669794512782, 23.198275797998438, 1, 0, 0, 0], [555, 1.1762034823332215, 23.03041467277565, 1, 0, 0, 0], [560, 1.1516349700650608, 22.86831869639742, 1, 0, 0, 0], [565, 1.141401743260758, 22.712111306525422, 1, 0, 0, 0], [570, 1.1345712578161813, 22.561914812355802, 1, 0, 0, 0], [575, 1.4752032682008576, 22.417850030723287, 1, 0, 0, 0], [580, 1.472957842601924, 22.280035906613794, 1, 0, 0, 0], [585, 1.4940072290952837, 22.148589119851405, 1, 0, 0, 0], [590, 1.3164760207976844, 22.023623680039577, 1, 0, 0, 0], [595, 1.245418282319406, 21.90525051214891, 1, 0, 0, 0], [600, 1.2319634907998989, 21.793577035447854, 1, 0, 0, 0]]",0.45044035
normal_trimmed_02.mp4,100,"tensor([[228.5803, 116.6480,  28.6850,  48.2252],
        [140.9701, 101.8544,  53.9925,  74.8532]])","[[5, 0.0, -1, 0, 0, 0, 0], [10, 7.446609807298803, 0.0, 2, 0, 0, 0], [15, 7.317920826032984, 0.0, 2, 0, 0, 0], [20, 7.517005079336438, 0.0, 2, 0, 0, 0], [25, 7.893265265109676, 0.0, 2, 0, 0, 0], [30, 8.031240470765775, 0.0, 2, 0, 0, 0], [35, 8.370421697248124, 0.0, 2, 0, 0, 0], [40, 8.822049760497976, 0.0, 2, 0, 0, 0], [45, 9.256703302222377, 0.0, 2, 0, 0, 0], [50, 9.553436901073155, 0.0, 2, 0, 0, 0], [55, 9.697629142879123, 0.0, 2, 0, 0, 0], [60, 9.827254771506736, 0.0, 2, 0, 0, 0], [65, 9.874031202678452, 0.0, 2, 0, 0, 0], [70, 9.680341649855563, 0.0, 2, 0, 0, 0], [75, 8.913282718979644, 0.0, 2, 0, 0, 0], [80, 7.946939702839397, 0.0, 2, 0, 0, 0], [85, 7.469855028515364, 0.0, 2, 0, 0, 0], [90, 7.568842231485935, 0.0, 2, 0, 0, 0], [95, 7.357891418412085, 0.0, 2, 0, 0, 0], [100, 7.063609159733535, 0.0, 2, 0, 0, 0]]",0.5205476
normal_trimmed_02.mp4,200,"tensor([[260.0223, 112.9040,  31.2972,  42.3497],
        [167.6391, 102.6528,  37.4992,  43.6866]])","[[105, 6.469552332288458, 0.0, 2, 0, 0, 0], [110, 6.1257268352495275, 0.0, 2, 0, 0, 0], [115, 5.53509943004777, 0.0, 2, 0, 0, 0], [120, 4.972671819738025, 0.0, 2, 0, 0, 0], [125, 4.409195450368013, 0.0, 2, 0, 0, 0], [130, 4.111493115481608, 0.0, 2, 0, 0, 0], [135, 4.132619565191514, 0.0, 2, 0, 0, 0], [140, 4.044724383109497, 0.0, 2, 0, 0, 0], [145, 4.167553749324573, 0.0, 2, 0, 0, 0], [150, 4.55759635698693, 0.0, 2, 0, 0, 0], [155, 4.714291176344432, 0.0, 2, 0, 0, 0], [160, 5.220702393626955, 0.0, 2, 0, 0, 0], [165, 5.132913265915704, 0.0, 2, 0, 0, 0], [170, 4.702517195723431, 0.0, 2, 0, 0, 0], [175, 4.376001822131457, 0.0, 1, 1, 0, 0], [180, 4.227100758573518, 0.0, 2, 0, 0, 0], [185, 3.7482270889140636, 0.0, 2, 0, 0, 0], [190, 3.677912879455713, 0.0, 2, 0, 0, 0], [195, 3.775950011325373, 0.0, 2, 0, 0, 0], [200, 3.858905893245416, 0.0, 2, 0, 0, 0]]",0.46831205
normal_trimmed_02.mp4,300,"tensor([[194.3139, 115.9816,  27.7363,  41.2369]])","[[205, 3.8526380195933903, 0.0, 2, 0, 0, 0], [210, 3.6886986757476734, 0.0, 2, 0, 0, 0], [215, 3.7312254129371163, 0.0, 1, 1, 0, 0], [220, 3.794376868219691, 0.0, 2, 0, 0, 0], [225, 3.7348923768146656, 0.0, 2, 0, 0, 0], [230, 3.910380123385039, 0.0, 1, 0, 0, 1], [235, 3.532228723167767, 0.0, 2, 0, 0, 0], [240, 3.6836102467768796, 0.0, 2, 0, 0, 0], [245, 3.593510436048291, 0.0, 1, 0, 0, 1], [250, 1.7761419360914867, 0.5, 1, 0, 0, 0], [255, 3.2563608157464237, 0.5, 0, 2, 0, 0], [260, 3.0888881881505768, 0.5, 0, 1, 0, 1], [265, 2.433429864947963, 1.0, 1, 0, 0, 0], [270, 2.154519284862848, 1.5, 1, 0, 0, 0], [275, 1.9230006623729423, 2.0, 1, 0, 0, 0], [280, 1.9013464853351252, 2.5, 1, 0, 0, 0], [285, 1.8458763422909215, 3.0, 0, 1, 0, 0], [290, 1.7377175074725528, 3.5, 1, 0, 0, 0], [295, 1.512381165704331, 4.0, 1, 0, 0, 0], [300, 1.4892702869663783, 4.5, 1, 0, 0, 0]]",0.4526143
normal_trimmed_02.mp4,400,"tensor([[ 66.3461, 138.0910,  40.6845,  57.6457]])","[[305, 1.375689608805563, 5.0, 1, 0, 0, 0], [310, 1.2727456119372011, 5.5, 1, 0, 0, 0], [315, 1.2353507578955032, 6.0, 1, 0, 0, 0], [320, 1.667418888317722, 26.695817400234567, 1, 0, 0, 1], [325, 1.8351124685837021, 26.549743668986505, 1, 0, 0, 1], [330, 1.9551823863007485, 26.411277052720408, 1, 0, 0, 1], [335, 1.9717560163127625, 26.280537792569366, 1, 0, 0, 1], [340, 1.963621610393299, 26.157641755751268, 1, 0, 0, 1], [345, 2.068325209635532, 26.042699979499478, 1, 0, 0, 1], [350, 2.277202899381033, 25.93581821856921, 1, 0, 0, 1], [355, 2.379301180244738, 25.837096500101467, 1, 0, 0, 1], [360, 2.5282609491896437, 25.746628689770024, 1, 0, 0, 1], [365, 2.800797329288798, 25.664502073226878, 1, 0, 0, 1], [370, 3.154739632115858, 25.590796956892312, 1, 0, 0, 1], [375, 3.256784539608816, 25.525586292102197, 1, 0, 0, 1], [380, 2.798027174793939, 25.901522906749882, 1, 0, 0, 0], [385, 2.7724625673733954, 26.280537792569366, 1, 0, 0, 0], [390, 3.062582003648307, 26.662499674428293, 0, 1, 0, 0], [395, 3.031604110624812, 27.047283700134393, 0, 1, 0, 0], [400, 3.0537583344095083, 27.434771124736336, 0, 1, 0, 0]]",0.49841645
normal_trimmed_02.mp4,500,"tensor([[102.0816, 109.8750,  46.9685,  59.2905]])","[[405, 3.032501219255437, 27.824849006278942, 1, 0, 0, 0], [410, 3.132211319784991, 28.21740991342441, 1, 0, 0, 0], [415, 3.284056950758668, 28.61235164516658, 1, 0, 0, 0], [420, 2.6603343588684916, 29.009576962712774, 1, 0, 0, 0], [425, 2.4104109060006826, 29.408993333483707, 1, 0, 0, 0], [430, 2.0140971932974026, 29.81051268708183, 1, 0, 0, 0], [435, 2.6082902812099746, 30.214051182999096, 1, 0, 0, 0], [440, 2.3190952182326328, 30.619528989773105, 1, 0, 0, 0], [445, 2.880393107599957, 31.026870075253587, 1, 0, 0, 0], [450, 3.125828917366789, 31.436002007606216, 1, 0, 0, 0], [455, 3.245855927786124, 31.846855766656496, 1, 0, 0, 0], [460, 3.403720837558467, 32.25936556516056, 1, 0, 0, 0], [465, 3.1924237646153037, 32.67346867958093, 1, 0, 0, 0], [470, 2.713102383247474, 33.089105289942324, 1, 0, 0, 0], [475, 2.680702598377138, 33.50621832834417, 1, 0, 0, 0], [480, 2.8910010223148674, 33.9247533357118, 1, 0, 0, 0], [485, 3.068739434344176, 34.34465832637669, 1, 0, 0, 0], [490, 2.9665512678329833, 34.76588366008646, 1, 0, 0, 0], [495, 3.100910941860093, 35.188381921057726, 1, 0, 0, 0], [500, 3.6260245550484647, 35.6121078036982, 1, 0, 0, 0]]",0.48309496
